Numero,Region
1,I Región de Tarapacá
2,II Región de Antofagasta
3,III Región de Atacama
4,IV Región de Coquimbo
5,V Región de Valparaíso
6,VI Región del Libertador General Bernardo O’Higgins
7,VII Región del Maule
8,VIII Región del Biobío
9,IX Región de La Araucanía
10,X Región de Los Lagos
11,XI Región Aysén del General Carlos Ibáñez del Campo
12,XII Región de Magallanes y Antártica Chilena
13,Región Metropolitana de Santiago
14,XIV Región de Los Ríos
15,XV Región de Arica y Parinacota
16,XVI Región de Ñuble
